X,Result_LN
-6.283185,NaN
-6.233185,NaN
-6.183185,NaN
-6.133185,NaN
-6.083185,NaN
-6.033185,NaN
-5.983185,NaN
-5.933185,NaN
-5.883185,NaN
-5.833185,NaN
-5.783185,NaN
-5.733185,NaN
-5.683185,NaN
-5.633185,NaN
-5.583185,NaN
-5.533185,NaN
-5.483185,NaN
-5.433185,NaN
-5.383185,NaN
-5.333185,NaN
-5.283185,NaN
-5.233185,NaN
-5.183185,NaN
-5.133185,NaN
-5.083185,NaN
-5.033185,NaN
-4.983185,NaN
-4.933185,NaN
-4.883185,NaN
-4.833185,NaN
-4.783185,NaN
-4.733185,NaN
-4.683185,NaN
-4.633185,NaN
-4.583185,NaN
-4.533185,NaN
-4.483185,NaN
-4.433185,NaN
-4.383185,NaN
-4.333185,NaN
-4.283185,NaN
-4.233185,NaN
-4.183185,NaN
-4.133185,NaN
-4.083185,NaN
-4.033185,NaN
-3.983185,NaN
-3.933185,NaN
-3.883185,NaN
-3.833185,NaN
-3.783185,NaN
-3.733185,NaN
-3.683185,NaN
-3.633185,NaN
-3.583185,NaN
-3.533185,NaN
-3.483185,NaN
-3.433185,NaN
-3.383185,NaN
-3.333185,NaN
-3.283185,NaN
-3.233185,NaN
-3.183185,NaN
-3.133185,NaN
-3.083185,NaN
-3.033185,NaN
-2.983185,NaN
-2.933185,NaN
-2.883185,NaN
-2.833185,NaN
-2.783185,NaN
-2.733185,NaN
-2.683185,NaN
-2.633185,NaN
-2.583185,NaN
-2.533185,NaN
-2.483185,NaN
-2.433185,NaN
-2.383185,NaN
-2.333185,NaN
-2.283185,NaN
-2.233185,NaN
-2.183185,NaN
-2.133185,NaN
-2.083185,NaN
-2.033185,NaN
-1.983185,NaN
-1.933185,NaN
-1.883185,NaN
-1.833185,NaN
-1.783185,NaN
-1.733185,NaN
-1.683185,NaN
-1.633185,NaN
-1.583185,NaN
-1.533185,NaN
-1.483185,NaN
-1.433185,NaN
-1.383185,NaN
-1.333185,NaN
-1.283185,NaN
-1.233185,NaN
-1.183185,NaN
-1.133185,NaN
-1.083185,NaN
-1.033185,NaN
-0.983185,NaN
-0.933185,NaN
-0.883185,NaN
-0.833185,NaN
-0.783185,NaN
-0.733185,NaN
-0.683185,NaN
-0.633185,NaN
-0.583185,NaN
-0.533185,NaN
-0.483185,NaN
-0.433185,NaN
-0.383185,NaN
-0.333185,NaN
-0.283185,NaN
-0.233185,NaN
-0.183185,NaN
-0.133185,NaN
-0.083185,NaN
-0.033185,NaN
0.016815,-4.0855019282
0.066815,-2.7058322097
0.116815,-2.1471663713
0.166815,-1.7908716837
0.216815,-1.5287122215
0.266815,-1.3212008829
0.316815,-1.1494382333
0.366815,-1.0028984713
0.416815,-0.8751135318
0.466815,-0.7618228989
0.516815,-0.6600708914
0.566815,-0.5677228400
0.616815,-0.4831866348
0.666815,-0.4052430897
0.716815,-0.3329379193
0.766815,-0.2655101040
0.816815,-0.2023430238
0.866815,-0.1429300561
0.916815,-0.0868499069
0.966815,-0.0337484323
1.016815,0.0166748908
1.066815,0.0646772719
1.116815,0.1104806087
1.166815,0.1542775467
1.216815,0.1962365367
1.266815,0.2365056330
1.316815,0.2752157051
1.366815,0.3124829793
1.416815,0.3484111771
1.466815,0.3830931720
1.516815,0.4166125340
1.566815,0.4490446888
1.616815,0.4804579735
1.666815,0.5109144331
1.716815,0.5404706462
1.766815,0.5691783074
1.816815,0.5970847820
1.866815,0.6242336033
1.916815,0.6506647900
1.966815,0.6764153196
2.016815,0.7015193699
2.066815,0.7260086066
2.116815,0.7499124519
2.166815,0.7732582000
2.216815,0.7960713335
2.266815,0.8183756133
2.316815,0.8401932443
2.366815,0.8615450352
2.416815,0.8824504237
2.466815,0.9029277103
2.516815,0.9229940766
2.566815,0.9426656903
2.616815,0.9619578067
2.666815,0.9808847537
2.716815,0.9994601146
2.766815,1.0176967133
2.816815,1.0356066846
2.866815,1.0532015444
2.916815,1.0704921541
2.966815,1.0874888722
3.016815,1.1042015224
3.066815,1.1206394438
3.116815,1.1368115224
3.166815,1.1527262455
3.216815,1.1683916329
3.266815,1.1838153954
3.316815,1.1990048734
3.366815,1.2139670778
3.416815,1.2287087320
3.466815,1.2432362051
3.516815,1.2575556486
3.566815,1.2716729362
3.616815,1.2855936961
3.666815,1.2993233452
3.716815,1.3128670248
3.766815,1.3262297211
3.816815,1.3394162070
3.866815,1.3524310693
3.916815,1.3652787178
3.966815,1.3779634171
4.016815,1.3904892097
4.066815,1.4028600452
4.116815,1.4150797105
4.166815,1.4271518557
4.216815,1.4390799998
4.266815,1.4508675617
4.316815,1.4625177741
4.366815,1.4740338200
4.416815,1.4854187544
4.466815,1.4966755289
4.516815,1.5078070181
4.566815,1.5188159421
4.616815,1.5297049877
4.666815,1.5404767374
4.716815,1.5511336913
4.766815,1.5616782703
4.816815,1.5721128420
4.866815,1.5824396375
4.916815,1.5926608789
4.966815,1.6027787021
5.016815,1.6127951788
5.066815,1.6227123394
5.116815,1.6325320974
5.166815,1.6422563643
5.216815,1.6518869792
5.266815,1.6614257289
5.316815,1.6708743492
5.366815,1.6802345483
5.416815,1.6895079277
5.466815,1.6986961006
5.516815,1.7078006186
5.566815,1.7168229910
5.616815,1.7257646870
5.666815,1.7346271582
5.716815,1.7434117563
5.766815,1.7521198564
5.816815,1.7607527791
5.866815,1.7693118114
5.916815,1.7777982073
5.966815,1.7862132116
6.016815,1.7945579743
6.066815,1.8028336774
6.116815,1.8110414546
6.166815,1.8191824117
6.216815,1.8272576480
6.266815,1.8352681790
