X,Result_SIN
-6.283185,0.0000000000
-6.233185,0.0499791688
-6.183185,0.0998334262
-6.133185,0.1494381400
-6.083185,0.1986693368
-6.033185,0.2474039640
-5.983185,0.2955202104
-5.933185,0.3428978104
-5.883185,0.3894183446
-5.833185,0.4349655359
-5.783185,0.4794255400
-5.733185,0.5226872300
-5.683185,0.5646424742
-5.633185,0.6051864064
-5.583185,0.6442176877
-5.533185,0.6816387604
-5.483185,0.7173560829
-5.433185,0.7512803989
-5.383185,0.7833269048
-5.333185,0.8134155010
-5.283185,0.8414709819
-5.233185,0.8674232233
-5.183185,0.8912073583
-5.133185,0.9127639389
-5.083185,0.9320390849
-5.033185,0.9489846186
-4.983185,0.9635581848
-4.933185,0.9757233574
-4.883185,0.9854497296
-4.833185,0.9927129990
-4.783185,0.9974949927
-4.733185,0.9997837689
-4.683185,0.9995736067
-4.633185,0.9968650312
-4.583185,0.9916648126
-4.533185,0.9839859485
-4.483185,0.9738476321
-4.433185,0.9612752039
-4.383185,0.9463000884
-4.333185,0.9289597155
-4.283185,0.9092974272
-4.233185,0.8873623689
-4.183185,0.8632093592
-4.133185,0.8368987852
-4.083185,0.8084963996
-4.033185,0.7780731937
-3.983185,0.7457052098
-3.933185,0.7114733510
-3.883185,0.6754631792
-3.833185,0.6377647011
-3.783185,0.5984721434
-3.733185,0.5576837168
-3.683185,0.5155013714
-3.633185,0.4720305410
-3.583185,0.4273798886
-3.533185,0.3816609983
-3.483185,0.3349881548
-3.433185,0.2874780157
-3.383185,0.2392493317
-3.333185,0.1904226492
-3.283185,0.1411200094
-3.233185,0.0914646432
-3.183185,0.0415806631
-3.133185,-0.0084072469
-3.083185,-0.0583741431
-3.033185,-0.1081951343
-2.983185,-0.1577457026
-2.933185,-0.2069019778
-2.883185,-0.2555411064
-2.833185,-0.3035415159
-2.783185,-0.3507832299
-2.733185,-0.3971481689
-2.683185,-0.4425204444
-2.633185,-0.4867866494
-2.583185,-0.5298361415
-2.533185,-0.5715613191
-2.483185,-0.6118578912
-2.433185,-0.6506251372
-2.383185,-0.6877661520
-2.333185,-0.7231881191
-2.283185,-0.7568024919
-2.233185,-0.7885252521
-2.183185,-0.8182771095
-2.133185,-0.8459837000
-2.083185,-0.8715757717
-2.033185,-0.8949893577
-1.983185,-0.9161659364
-1.933185,-0.9350525774
-1.883185,-0.9516020738
-1.833185,-0.9657730673
-1.783185,-0.9775301221
-1.733185,-0.9868438614
-1.683185,-0.9936910055
-1.633185,-0.9980544399
-1.583185,-0.9999232583
-1.533185,-0.9992927894
-1.483185,-0.9961646091
-1.433185,-0.9905465361
-1.383185,-0.9824526127
-1.333185,-0.9719030627
-1.283185,-0.9589242706
-1.233185,-0.9435486662
-1.183185,-0.9258146809
-1.133185,-0.9057666407
-1.083185,-0.8834546553
-1.033185,-0.8589344932
-0.983185,-0.8322674421
-0.933185,-0.8035201558
-0.883185,-0.7727644939
-0.833185,-0.7400773138
-0.783185,-0.7055403273
-0.733185,-0.6692398581
-0.683185,-0.6312666383
-0.633185,-0.5917155808
-0.583185,-0.5506855427
-0.533185,-0.5082790679
